Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,32,9,T:System.Web.Http.RouteAttribute,,,,,"Route(""{id:long}"")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,31,9,M:System.Web.Http.HttpGetAttribute.#ctor,,,,,HttpGet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,31,9,T:System.Web.Http.HttpGetAttribute,,,,,HttpGet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,38,16,T:System.Web.Http.Results.NotFoundResult,,,,,return NotFound();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,38,16,M:System.Web.Http.ApiController.NotFound,,,,,return NotFound();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,18,9,M:System.Web.Http.RouteAttribute.#ctor(System.String),,,,,"Route("""")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,18,9,T:System.Web.Http.RouteAttribute,,,,,"Route("""")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,17,9,M:System.Web.Http.HttpGetAttribute.#ctor,,,,,HttpGet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,17,9,T:System.Web.Http.HttpGetAttribute,,,,,HttpGet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,25,16,T:System.Web.Http.Results.NotFoundResult,,,,,return NotFound();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,25,16,M:System.Web.Http.ApiController.NotFound,,,,,return NotFound();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,12,8,M:System.Web.Http.ApiController.#ctor,,,,,public ClientesController(IClienteService clienteService)          {              _clienteService = clienteService;          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,12,8,M:System.Web.Http.ApiController.#ctor,,,,,public ClientesController(IClienteService clienteService)          {              _clienteService = clienteService;          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,8,38,T:System.Web.Http.ApiController,,,,,ApiController
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Global.asax.cs,9,12,T:System.Web.Http.GlobalConfiguration,,,,,GlobalConfiguration.Configure(WebApiConfig.Register);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Global.asax.cs,9,12,M:System.Web.Http.GlobalConfiguration.Configure(System.Action{System.Web.Http.HttpConfiguration}),,,,,GlobalConfiguration.Configure(WebApiConfig.Register);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Global.asax.cs,5,37,M:System.Web.HttpApplication.#ctor,,,,,HttpApplication
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Global.asax.cs,5,37,T:System.Web.HttpApplication,,,,,HttpApplication
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,16,8,T:System.Web.Http.HttpConfiguration,,,,,public static void Register(HttpConfiguration config)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,47,12,T:System.Web.Http.RouteParameter,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,47,12,T:System.Web.Http.RouteParameter,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,47,12,F:System.Web.Http.RouteParameter.Optional,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,47,12,T:System.Web.Http.RouteParameter,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,47,12,T:System.Web.Http.HttpRouteCollection,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,47,12,P:System.Web.Http.HttpConfiguration.Routes,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,47,12,T:System.Web.Http.HttpRouteCollectionExtensions,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,47,12,T:System.Web.Http.Routing.IHttpRoute,,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,47,12,"M:System.Web.Http.HttpRouteCollectionExtensions.MapHttpRoute(System.Web.Http.HttpRouteCollection,System.String,System.String,System.Object)",,,,,"config.Routes.MapHttpRoute(                  name: ""DefaultApi"",                  routeTemplate: ""api/{controller}/{id}"",                  defaults: new { id = RouteParameter.Optional }              );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,45,12,T:System.Web.Http.HttpConfigurationExtensions,,,,,config.MapHttpAttributeRoutes();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,45,12,M:System.Web.Http.HttpConfigurationExtensions.MapHttpAttributeRoutes(System.Web.Http.HttpConfiguration),,,,,config.MapHttpAttributeRoutes();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,42,12,P:System.Net.Http.Formatting.BaseJsonMediaTypeFormatter.SerializerSettings,,,,,jsonFormatter.SerializerSettings.Formatting = Formatting.Indented;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,41,12,P:System.Net.Http.Formatting.BaseJsonMediaTypeFormatter.SerializerSettings,,,,,jsonFormatter.SerializerSettings.ContractResolver = new CamelCasePropertyNamesContractResolver();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,39,12,T:System.Net.Http.Formatting.MediaTypeFormatterCollection,,,,,var jsonFormatter = config.Formatters.JsonFormatter;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,39,12,P:System.Web.Http.HttpConfiguration.Formatters,,,,,var jsonFormatter = config.Formatters.JsonFormatter;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,39,12,T:System.Net.Http.Formatting.JsonMediaTypeFormatter,,,,,var jsonFormatter = config.Formatters.JsonFormatter;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,39,12,P:System.Net.Http.Formatting.MediaTypeFormatterCollection.JsonFormatter,,,,,var jsonFormatter = config.Formatters.JsonFormatter;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,36,12,T:System.Web.Http.GlobalConfiguration,,,,,GlobalConfiguration.Configuration.DependencyResolver = resolver;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,36,12,T:System.Web.Http.HttpConfiguration,,,,,GlobalConfiguration.Configuration.DependencyResolver = resolver;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,36,12,P:System.Web.Http.GlobalConfiguration.Configuration,,,,,GlobalConfiguration.Configuration.DependencyResolver = resolver;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,36,12,T:System.Web.Http.Dependencies.IDependencyResolver,,,,,GlobalConfiguration.Configuration.DependencyResolver = resolver;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,36,12,P:System.Web.Http.HttpConfiguration.DependencyResolver,,,,,GlobalConfiguration.Configuration.DependencyResolver = resolver;
